Specieslist,name,value,pointscalculated,distance
Sirsoe methanicola,SwedishWestCoast, 3688,11,8705883.97160327
Sparus aurata,Plymouth,   18,27,84171.9830432879
Sparus aurata,Vigo,    4,10,16661.4295837188
Spatangus purpureus,Limfjord, 1429,37,56163.144160981
Spio decorata,Koster,  173,141,71504.4516501608
Spio decorata,Plymouth,   26,42,16685.0817946159
Spio symphyta,Koster,   16,24,518500.776857672
Spio symphyta,Plymouth,    7,61,16685.0817946159
Spio symphyta,SwedishWestCoast,    6,11,471642.632917368
Spio symphyta,Vigo, 2825,92,764479.617103075
Spiralinella spiralis,Laeso,    6,31,16704.3838634825
Spiralinella spiralis,Plymouth,    7,23,16685.0817946159
Spirontocaris phippsi,BelgianCoast,0,0,NA
Spirontocaris phippsi,TZS,0,0,NA
Spisula subtruncata,Getxo,    3,10,138129.945182975
Spisula subtruncata,Koster,   51,94,16708.7483079541
Spisula subtruncata,Laeso,   61,164,16704.3838634825
Spisula subtruncata,Roscoff,  303,40,27709.6517300708
Spisula subtruncata,Vigo, 4054,11,33324.1712490614
Sprattus sprattus,Laeso,   12,25,24672.9825950449
Squalus acanthias,Koster,    7,21,16709.1389609878
Squalus acanthias,Roscoff,   16,17,212847.972206557
Squalus acanthias,Vigo,    8,89,680281.798272851
Squalus blainville,Roscoff,    8,17,1293456.87635879
Squalus blainville,SwedishWestCoast,    9,14,4778568.34166751
Stenothoe monoculoides,Getxo,   14,106,521186.252438643
Stenothoe monoculoides,Plymouth,    2,69,16685.0817946159
Stenothoe monoculoides,Roscoff,   36,96,146017.720179955
Steromphala cineraria,Koster,   15,114,16708.7483079541
Steromphala cineraria,Plymouth,   83,1101,16685.0817946159
Steromphala cineraria,Roscoff,   37,110,16680.2971750214
Steromphala cineraria,SwedishWestCoast,  212,122,33414.7453085729
Sthenelais boa,BelgianCoast,    2,162,26603.9160663947
Sthenelais boa,SwedishWestCoast,  176,1181,72045.3166615693
Stomphia coccinea,Koster,   34,13,33418.6675086526
Stomphia coccinea,Limfjord, 9398,16,56163.144160981
Stomphia coccinea,Plymouth, 2546,47,16685.5145902003
Stomphia coccinea,Roscoff,    2,22,183512.013572723
Stomphia coccinea,SwedishWestCoast,    2,23,33414.7453085729
Streblospio benedicti,BelgianCoast,   13,148,26657.0689215353
Streblospio benedicti,Roscoff,   11,12,361018.561946821
Streptosyllis websteri,BelgianCoast,  645,109,16688.9610738773
Strongylacidon bermudae,Koster,0,0,NA
Strongylocentrotus droebachiensis,Getxo,    4,23,844796.744981395
Strongylocentrotus droebachiensis,Limfjord,  255,52,56163.144160981
Strongylocentrotus droebachiensis,Roscoff, 5644,31,183512.013572723
Strongylocentrotus droebachiensis,SwedishWestCoast,   20,115,16707.9638461839
Subadyte pellucida,BelgianCoast,    3,18,53154.6380311303
Subadyte pellucida,Koster,   48,12,778604.488005663
Subadyte pellucida,Limfjord,   14,12,535501.950772656
Subadyte pellucida,Plymouth,  126,19,16685.0817946159
Subadyte pellucida,Roscoff,  251,13,16680.2971750214
Subadyte pellucida,SwedishWestCoast,  213,17,750222.619248314
Syllidia armata,BelgianCoast,    6,55,26657.0689215353
Syllidia armata,Getxo,   42,12,345159.711398942
Syllidia armata,Koster,  224,14,16708.7483079541
Syllidia armata,Laeso,  150,13,49399.7733009532
Syllidia armata,Limfjord,  613,13,188399.086476229
Syllidia armata,Plymouth, 3062,175,16685.0817946159
Syllidia armata,Roscoff,29157,24,16680.2971750214
Syllidia armata,SwedishWestCoast,31342,14,16707.9638461839
Syllidia armata,TZS,    8,17,2639789.36351104
Syllis armillaris,Plymouth,    8,64,16685.0817946159
Tachidiella minuta,Koster,  440,17,126387.845885837
Tachidius discipes,Getxo,  431,60,1013084.45558328
Tachidius discipes,Koster,  934,26,16709.1389609878
Tachidius discipes,Laeso,  360,17,169282.016400078
Tanytarsus usmaensis,TZS, 1676,35,40419.2116514662
Telmatogeton japonicus,Laeso,   19,14,121330.003661763
